danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,release_date,popularity,artist
0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,audio_features,7lWUJpax919G4JdaFEVmCy,spotify:track:7lWUJpax919G4JdaFEVmCy,https://api.spotify.com/v1/tracks/7lWUJpax919G4JdaFEVmCy,https://api.spotify.com/v1/audio-analysis/7lWUJpax919G4JdaFEVmCy,172053,4,Blah Blah Blah (feat. 3OH!3),2010-01-01,60,Kesha
0.845,0.601,1,-5.283,1,0.161,0.0205,0,0.385,0.329,74.008,audio_features,2IpGdrWvIZipmaxo1YRxw5,spotify:track:2IpGdrWvIZipmaxo1YRxw5,https://api.spotify.com/v1/tracks/2IpGdrWvIZipmaxo1YRxw5,https://api.spotify.com/v1/audio-analysis/2IpGdrWvIZipmaxo1YRxw5,242013,4,Bottoms Up (feat. Nicki Minaj),2010-09-13,0,Trey Songz
0.855,0.668,11,-4.892,1,0.0644,0.0242,0,0.102,0.803,125.846,audio_features,7yws3pF3FFguwT2Psi6c15,spotify:track:7yws3pF3FFguwT2Psi6c15,https://api.spotify.com/v1/tracks/7yws3pF3FFguwT2Psi6c15,https://api.spotify.com/v1/audio-analysis/7yws3pF3FFguwT2Psi6c15,210307,4,Do You Remember,2009-01-01,0,Jay Sean
0.529,0.948,0,-3.527,1,0.0474,0.258,0.00000935,0.283,0.65,146.024,audio_features,5XRHGXut00SrJUFmcn2lQF,spotify:track:5XRHGXut00SrJUFmcn2lQF,https://api.spotify.com/v1/tracks/5XRHGXut00SrJUFmcn2lQF,https://api.spotify.com/v1/audio-analysis/5XRHGXut00SrJUFmcn2lQF,238000,4,All The Right Moves,2009-01-01,66,OneRepublic
0.619,0.917,5,-2.582,1,0.0507,0.0233,0.0000121,0.0986,0.552,131.002,audio_features,72phhQtfwZcRweweRxxkmU,spotify:track:72phhQtfwZcRweweRxxkmU,https://api.spotify.com/v1/tracks/72phhQtfwZcRweweRxxkmU,https://api.spotify.com/v1/audio-analysis/72phhQtfwZcRweweRxxkmU,200347,4,According To You,2010-01-01,49,Orianthi
0.624,0.723,1,-6.782,1,0.378,0.172,0,0.483,0.757,84.789,audio_features,3bMNprrp2JDKZsGbiXpsJl,spotify:track:3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/tracks/3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/audio-analysis/3bMNprrp2JDKZsGbiXpsJl,216933,4,My Chick Bad,2010-01-01,67,Ludacris
0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,audio_features,3GCL1PydwsLodcpv0Ll1ch,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/tracks/3GCL1PydwsLodcpv0Ll1ch,https://api.spotify.com/v1/audio-analysis/3GCL1PydwsLodcpv0Ll1ch,231133,4,You Belong With Me,2008-11-11,70,Taylor Swift
0.798,0.629,11,-6.857,0,0.0735,0.00474,0.0000217,0.324,0.4,130,audio_features,0xfpx7AiwgSKEtjotea2L6,spotify:track:0xfpx7AiwgSKEtjotea2L6,https://api.spotify.com/v1/tracks/0xfpx7AiwgSKEtjotea2L6,https://api.spotify.com/v1/audio-analysis/0xfpx7AiwgSKEtjotea2L6,284373,4,Meet Me Halfway,2009-01-01,1,Black Eyed Peas
0.729,0.675,5,-5.292,0,0.0286,0.0000414,0.00126,0.0867,0.74,125.036,audio_features,0WCiI0ddWiu5F2kSHgfw5S,spotify:track:0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/tracks/0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/audio-analysis/0WCiI0ddWiu5F2kSHgfw5S,215200,4,Take It Off,2010-01-01,69,Kesha
0.35,0.845,7,-5.614,1,0.2,0.0107,0,0.123,0.45,99.643,audio_features,6BdgtqiV3oXNqBikezwdvC,spotify:track:6BdgtqiV3oXNqBikezwdvC,https://api.spotify.com/v1/tracks/6BdgtqiV3oXNqBikezwdvC,https://api.spotify.com/v1/audio-analysis/6BdgtqiV3oXNqBikezwdvC,233560,5,Over,2010-01-01,69,Drake
0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,audio_features,1fBl642IhJOE5U319Gy2Go,spotify:track:1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/tracks/1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/audio-analysis/1fBl642IhJOE5U319Gy2Go,212293,4,Animal,2010-01-01,70,Neon Trees
0.703,0.811,4,-4.873,0,0.0423,0.000307,0,0.199,0.711,102.979,audio_features,3XojqFisTYTQm2p7HK5p4P,spotify:track:3XojqFisTYTQm2p7HK5p4P,https://api.spotify.com/v1/tracks/3XojqFisTYTQm2p7HK5p4P,https://api.spotify.com/v1/audio-analysis/3XojqFisTYTQm2p7HK5p4P,216200,4,Misery,2010,57,Maroon 5
0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,audio_features,5uHYcK0nbEYgRaFTY5BqnP,spotify:track:5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/tracks/5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/audio-analysis/5uHYcK0nbEYgRaFTY5BqnP,196133,4,Magic (feat. Rivers Cuomo),2010-04-27,66,B.o.B
0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,audio_features,0uNMe6UEqe9uGazPgUGnLD,spotify:track:0uNMe6UEqe9uGazPgUGnLD,https://api.spotify.com/v1/tracks/0uNMe6UEqe9uGazPgUGnLD,https://api.spotify.com/v1/audio-analysis/0uNMe6UEqe9uGazPgUGnLD,208307,4,Paparazzi,2009-11-05,57,Lady Gaga
